"Tipo","SKU","¿Existencias?","Inventario","Precio normal","Porcentajede descuento","precio con descuento","Categorías","Etiquetas","Valor(es) del atributo 1","Valor(es) del atributo 2","Valor(es) del atributo 3","Valor(es) del atributo 4","Valor(es) del atributo 5","Valor(es) del atributo 6","Valor(es) del atributo 7","Valor(es) del atributo 8","Valor(es) del atributo 9","Valor(es) del atributo 10","Valor(es) del atributo 11","Valor(es) del atributo 12","Valor(es) del atributo 13","IMAGEN 1","IMAGEN 2","IMAGEN 3"
"De Marca","A0M0130","1","1","$4,500.00","30%","$3,150.00","DE MARCA","Lente oftálmico","A0M0130","ADIDAS","Lente oftálmico","Plateado","Lente Redondo","Metal","Metal","Sin clip","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VAE.23010","1","1","$2,100.00","15%","$1,785.00","DE MARCA","Lente oftálmico","VAE.23010","AÉROPOSTALE","Lente oftálmico","Rosa","Redondo","Acetato","Acetato","Sin clip","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VAE.AE013","1","1","$2,100.00","15%","$1,785.00","DE MARCA","Lente oftálmico","VAE.AE013","AÉROPOSTALE","Lente oftálmico","Plateado con contorno negro","obalado con esquinas amplias","Metalico","Metalicas","Sin clip","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VAE.AE012","1","1","$2,100.00","15%","$1,785.00","DE MARCA","Lente oftálmico","VAE.AE012","AÉROPOSTALE","Lente oftálmico","Plateado con contorno negro","Redondo","Metalico","Metalicas","Sin clip","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VAE.0AOP8","1","1","$2,100.00","15%","$1,785.00","DE MARCA","Lente oftálmico","VAE.0AOP8","AÉROPOSTALE","Lente oftálmico","Negro","redondo","Acetato","Acetato","Sin clip","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31063","1","1","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31063","BELIEVE","CON CLIP","Negro","Rectangular","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31770","1","1","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31770","BELIEVE","CON CLIP","","","","","CON CLIP","Transparente","Mediano","","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31621","1","1","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31621","BELIEVE","CON CLIP","Vino","Rectangular","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31352","1","1","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31352","BELIEVE","CON CLIP","Negro con cafe","Ovalado","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31225","4","4","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31225","BELIEVE","CON CLIP","Negro","Cuadrado","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31175","3","3","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31175","BELIEVE","CON CLIP","Negro/ Cafe ","Rectangular","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31229","3","3","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31229","BELIEVE","CON CLIP","Azul con naranja","Rectangular","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VBI 31338","1","1","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31338","BELIEVE","CON CLIP","Cafe","Rectangular","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
