Tipo,SKU,¿Existencias?,Inventario,Precio normal,Porcentajede descuento,precio con descuento,Categorías,Etiquetas,Valor(es) del atributo 1,Valor(es) del atributo 2,Valor(es) del atributo 3,Valor(es) del atributo 4,Valor(es) del atributo 5,Valor(es) del atributo 6,Valor(es) del atributo 7,Valor(es) del atributo 8,Valor(es) del atributo 9,Valor(es) del atributo 10,Valor(es) del atributo 11,Valor(es) del atributo 12,Valor(es) del atributo 13,IMAGEN 1,IMAGEN 2,IMAGEN 3
De Marca,4010 C2,1,1,"$2,250.00",10%,"$2,025.00",DE MARCA,Lente oftálmico,4010 C2,BARBIE,Lente oftálmico,,,,,Sin clip,Transparente,Mediano,,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,,,
De Marca,4011,1,1,"$2,250.00",10%,"$2,025.00",DE MARCA,Lente oftálmico,4011,BARBIE,Lente oftálmico,,,,,Sin clip,Transparente,Mediano,,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,,,
De Marca,4016,,,,,,,,,BARBIE,,,,,,,,,,,,,,
De Marca,4226,,,,,,,,,BARBIE,,,,,,,,,,,,,,
De Marca,AOK0050,1,1,"$4,500.00",30%,"$3,150.00",DE MARCA,Lente oftálmico,AOK0050,ADIDAS,Lente oftálmico,Karey negro con gris,Cuadrado,Acetato,Acetato,Sin clip,Transparente,Mediano,Hidrogel de tornillo,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOK0050-Adidas-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOK0050-Adidas-2-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOK0050-Adidas-1-PT02.webp
De Marca,AOR0000,1,1,"$4,500.00",30%,"$3,150.00",DE MARCA,Lente oftálmico,AOR0000,ADIDAS,Lente oftálmico,Karey negro co transparente,Cuadrado,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR000O-Adidas-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR000O-Adidas-1-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR000O-Adidas-2-PT02.webp
De Marca,AOR0060,1,1,"$4,500.00",30%,"$3,150.00",DE MARCA,Lente oftálmico,AOR0060,ADIDAS,Lente oftálmico,Rojo con azul,Ovalado,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR006O-Adidas-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR006O-Adidas-2-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR006O-Adidas-1-PT02.webp
De Marca,AOR006O-Adidas-1(1),,,,,,,,,ADIDAS,,,,,,,,,,,,,,
De Marca,AOR0070,1,1,"$4,500.00",30%,"$3,150.00",DE MARCA,Lente oftálmico,AOR0070,ADIDAS,Lente oftálmico,Negro,Ovalado,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR007O-Adidas-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR007O-Adidas-2-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR007O-Adidas-1-PT02.webp
De Marca,AOR0100,1,1,"$4,500.00",30%,"$3,150.00",DE MARCA,Lente oftálmico,AOR0100,ADIDAS,Lente oftálmico,Gris y azul cielo,Cuadrado,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR010O-Adidas-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR010O-Adidas-2-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AOR010O-Adidas-1-PT02.webp
